"4世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2297.7097","37.38773","83.33064","96.59307","170.39993","10.183307","8.713233","0.026773214","5.425654"
"1","1898.0261","41.132187","115.77779","103.39817","167.60303","9.484221","8.114356","1.4750911","4.9559135"
"2","1874.0188","42.383804","86.80865","96.899605","52.235874","10.084685","9.870775","0.88223886","6.0763826"
"3","1870.7683","41.301514","116.31563","96.30812","165.55424","11.108512","9.252362","1.0568292","5.8343563"
"4","1861.991","36.697613","82.71523","92.8382","165.35716","8.938706","8.39707","0.18656862","5.385238"
"5","1854.7742","41.27978","85.020584","101.337166","165.38933","10.638731","8.198635","-0.05723715","6.431169"
"6","1832.418","37.487892","83.10161","98.30312","165.42813","7.955223","8.0776005","0.42725897","5.744177"
"7","1828.2013","40.171753","111.376785","101.20726","162.71141","9.46201","7.691785","0.4592414","4.969034"
"8","1825.3983","42.815823","115.85007","101.89707","61.32366","7.9656496","8.610947","0.07851863","6.0626597"
"9","1807.9667","41.74699","86.88493","101.26716","164.25038","9.354712","8.024971","1.0633302","5.2569575"
"10","1800.2141","36.1879","114.43631","99.93512","168.40434","9.803455","9.914208","0.2554462","4.649237"
"11","1780.442","40.124504","85.00753","96.97892","162.59335","9.48679","8.919403","0.5740981","5.5666895"
"12","1777.9766","40.18418","84.08202","101.808014","164.08598","9.445263","8.762914","1.3326787","5.303082"
"13","1772.2543","44.46228","124.614174","99.90374","167.52603","9.889883","8.83416","0.5393208","5.2586107"
"14","1741.3739","38.06484","111.17338","93.664566","166.17303","9.314884","8.938877","0.6265317","5.254968"
"15","1727.9608","41.118683","114.39412","102.80249","166.47874","8.742305","8.529995","0.4795375","5.5527935"
"16","1721.7152","39.805943","85.23659","99.70919","159.79465","9.679971","7.746825","1.3201638","4.882872"
"17","1714.0774","41.09087","115.262024","95.779976","163.60374","10.384898","9.323695","1.4682198","5.563384"
"18","1713.819","40.962887","87.03894","104.81121","165.4837","10.389909","9.487863","1.6932018","5.214769"
"19","1680.0604","38.94384","85.38599","100.65186","160.83237","9.973448","8.922425","1.864887","4.6190877"
"20","1675.3967","43.294327","87.70607","98.25336","171.33833","8.445815","8.487234","0.9255012","5.7883973"
"21","1662.3718","43.604298","81.87111","97.64745","162.43864","9.01012","9.01745","0.62183595","5.500127"
"22","1588.8096","40.562637","112.90764","104.867744","165.90578","9.969939","8.919578","-0.35700643","6.3593736"
"23","1585.5104","38.691975","117.854","94.26399","169.14006","10.500548","9.603973","-0.23834348","6.458299"
"24","1575.3579","41.438927","117.27816","102.56994","170.29556","10.08617","9.003576","2.3967004","5.122539"
"25","1564.9939","42.61522","112.42469","97.94576","169.49599","9.326338","9.010975","-0.3542968","5.3891306"
"26","1429.6453","39.706097","114.162834","104.975845","163.23918","9.0710335","8.214401","-0.40334642","5.3028913"
"27","1387.9387","39.880657","113.48792","99.15766","166.32611","10.007967","9.524761","-0.46715784","4.8153377"
"28","0.0","38.406536","112.67363","103.95057","162.06514","9.1548815","9.953403","2.3763409","5.1392455"
"29","0.0","37.5566","114.860886","93.40398","159.86662","11.180532","9.853111","1.9757472","6.1069603"
"30","0.0","158.35883","43.93868","100.0","154.01126","9.9789","6.640617","5.515657","6.7491693"
"31","0.0","69.5345","26.28238","100.0","144.57794","4.6534696","3.8490424","8.337917","6.785977"
"32","0.0","18.23965","124.614174","100.0","44.07258","8.952961","1.4226191","4.3746014","7.688923"
"33","0.0","42.59223","117.7275","104.96244","164.92017","8.760205","9.722391","1.675019","6.363358"
"34","0.0","80.60637","163.83151","100.0","61.32366","4.6897907","5.3301253","3.9184864","3.2324395"
"35","0.0","120.59058","56.7759","100.0","52.235874","4.257475","6.9838796","4.013931","7.3776093"
"36","0.0","40.703484","118.63717","92.56611","162.03432","9.1152","9.978842","1.5391346","5.429504"
"37","0.0","33.80449","114.847336","92.165726","162.4201","9.905949","9.634773","0.0446589","5.0677476"
"38","0.0","42.987484","118.13237","96.39738","165.2509","7.9167776","9.719607","0.7156726","5.9574013"
"39","0.0","38.852814","114.46692","102.119064","162.44731","8.387265","8.769544","1.575479","5.5130296"
"40","0.0","120.59058","81.73232","102.336266","164.92815","9.038787","9.200931","0.9284704","4.8634553"
"41","0.0","32.591454","87.62808","99.54337","163.82703","9.939864","10.166427","0.3262745","4.737923"
"42","0.0","43.203705","26.28238","105.29636","164.39352","10.417203","9.564273","0.9048817","5.5567455"
"43","0.0","41.38982","112.96968","102.18381","169.64635","9.843369","10.821739","1.8594867","4.235808"
"44","0.0","43.179996","112.49258","105.54799","160.03545","9.417203","9.971426","2.133267","5.9520574"
"45","0.0","39.115185","87.708595","100.89187","165.26503","9.060261","10.322048","0.3367908","4.9334946"
"46","0.0","36.529007","116.068474","98.590744","166.24168","10.3409195","8.717614","2.36965","6.3328066"
"47","0.0","34.52948","85.705315","99.69161","162.16667","10.681001","9.258906","0.9401189","5.9190965"
"48","0.0","36.581787","83.440895","100.81658","163.42981","9.9935665","10.129348","1.6666735","6.4927473"
"49","0.0","42.22752","118.64189","105.61313","166.51959","9.7951975","9.610793","8.337917","6.5509005"
