"1世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","1784.8625","40.124504","85.00753","96.97892","162.59335","9.48679","8.919403","0.5740981","5.5666895"
"1","1682.8273","51.654484","58.596664","101.84613","75.97749","8.778418","6.419296","5.32868","6.72416"
"2","1456.9388","44.28111","118.32467","101.78305","166.25653","10.29866","9.862032","1.5285313","5.80664"
"3","1435.9216","58.844147","79.46556","102.57332","45.965263","9.360989","8.899696","1.6083832","1.419022"
"4","1406.5123","55.03674","82.14304","100.0","150.12387","7.127547","6.1284084","1.3279779","5.999883"
"5","1405.2267","53.456284","85.5634","101.64939","159.50677","9.637791","9.038136","1.6184019","5.205304"
"6","1354.269","55.89175","84.97073","100.0","74.16698","9.684823","9.163383","3.3853164","7.60146"
"7","1352.8062","55.845535","121.208496","96.53975","25.148153","7.7940173","6.1360908","3.4678671","5.687642"
"8","1350.2024","58.417606","85.2722","96.31359","164.64926","7.99045","6.5961943","3.0799062","7.051485"
"9","1300.5242","55.569218","120.955734","101.49795","45.968475","6.885977","6.911956","2.743659","6.653556"
"10","1298.7792","58.955482","82.0402","102.15745","75.26969","8.744976","8.445569","2.8844175","2.5957756"
"11","1294.1595","58.058308","82.340065","96.60774","147.88797","8.685078","9.210215","1.9252074","2.1151657"
"12","1277.5269","73.45263","81.89053","98.609985","152.26363","6.6658325","6.7745237","0.6886785","7.2609887"
"13","1227.9906","55.20386","60.82726","101.99851","28.348618","10.270357","7.0234437","2.5089936","5.8997126"
"14","1197.4893","68.47852","118.076324","102.58728","151.21463","7.182541","6.2847986","3.6714487","3.0460668"
"15","1135.0924","54.46513","121.48709","96.83042","158.96216","8.440235","2.790678","1.0938638","7.3547597"
"16","1130.3024","53.18948","82.21751","97.162735","25.408634","6.6913495","4.4474177","2.56606","5.575145"
"17","1115.748","52.67685","62.9857","100.415985","153.31966","7.19832","3.8214998","1.7213447","1.3415699"
"18","1044.2278","43.708904","56.08732","102.07115","31.475136","10.562123","3.446043","3.338665","6.9342556"
"19","994.3552","52.325455","120.8726","97.571976","151.92542","8.208246","5.9228477","4.0294037","7.1160626"
"20","988.30774","57.290718","116.37335","97.522934","164.57321","6.898606","4.169514","3.755478","3.9553897"
"21","920.49567","60.70184","121.655914","96.001274","40.23895","8.362129","6.303597","4.0844345","5.418948"
"22","912.22815","59.16879","60.367138","101.6581","165.37923","7.754722","7.077004","2.654378","5.877792"
"23","802.8917","73.006096","119.38388","103.1541","74.759544","10.090342","4.2091956","1.9871475","7.989409"
"24","629.9649","52.72084","81.78582","102.112434","28.45304","9.164925","2.8687336","5.295101","2.5941167"
"25","625.97266","72.21692","119.13243","100.0","28.908926","9.050358","3.3617232","2.0259762","1.9600892"
"26","617.5141","53.14862","82.50323","98.56087","26.62939","9.5928135","3.2231216","4.047719","1.8993927"
"27","570.38464","55.197422","58.04525","100.39861","45.068665","10.133272","5.761498","5.118925","3.7548304"
"28","545.6488","71.01146","81.56923","98.15975","160.02359","9.6620865","3.1581562","3.7779307","4.3793106"
"29","480.09723","39.10353","82.46889","100.50043","43.282154","9.078407","3.179446","2.0047143","7.5418406"
"30","436.72836","54.244953","119.12812","96.74594","71.63682","8.571502","3.5242243","5.6517067","1.3432732"
"31","269.40863","94.00694","140.79608","100.0","94.67255","9.87866","9.394648","6.78986","2.2820916"
"32","259.92114","71.47206","62.973804","99.501465","42.20393","9.233962","2.9363213","5.1822634","5.32009"
"33","224.54958","53.712593","50.849083","97.78757","40.906555","9.288362","5.749456","2.8237221","6.4797816"
"34","180.87405","69.9014","55.258587","101.35246","40.206024","10.032471","6.257928","3.4107745","3.089099"
"35","174.28061","72.65039","52.909985","99.3264","152.47589","9.918534","8.869891","0.81322694","5.8551626"
"36","43.061596","56.442","55.523636","102.442566","41.31358","7.662086","4.6739206","3.891371","3.5008936"
"37","38.241398","42.881744","54.33739","100.0","162.95122","9.7245865","3.517348","2.3611836","3.56527"
"38","6.7333217","69.090385","55.492775","98.21505","26.873404","9.493156","10.074142","3.8484545","2.830529"
"39","2.6606615","55.008217","60.493446","103.525566","150.34575","9.978425","3.2384737","2.4666557","3.2144663"
"40","2.534595","56.70306","59.573864","100.0","43.58239","7.5818396","4.073503","4.6604595","6.3833323"
"41","6.31446E-8","52.156734","57.04122","101.340866","31.682676","8.690954","3.5707617","0.6035056","6.2214155"
"42","0.0","15.50302","104.83521","100.0","126.36703","4.3209333","2.599163","6.273748","2.2636762"
"43","0.0","140.10924","50.846977","100.0","62.217182","2.7042944","5.118645","8.658187","7.051485"
"44","0.0","121.06339","80.606575","100.0","52.16313","7.2510376","2.2645757","4.53069","7.634322"
"45","0.0","53.32234","51.73151","96.88796","40.1405","6.4358807","9.493752","5.307247","3.350172"
"46","0.0","40.150585","117.32109","99.37343","148.9245","8.829501","5.860029","2.98663","7.051485"
"47","0.0","54.687214","60.66651","102.709236","164.54008","8.10188","8.337082","4.823476","5.5600247"
"48","0.0","110.85601","33.55784","100.0","89.96835","1.7737519","2.0178413","2.642126","5.3513227"
"49","0.0","42.46967","80.979454","100.58406","153.91052","7.564747","5.9538155","3.8175802","6.775451"
