"3世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","1981.9027","36.1879","114.43631","99.93512","168.40434","9.803455","9.914208","0.2554462","4.649237"
"1","1919.504","41.118683","114.39412","102.80249","166.47874","8.742305","8.529995","0.4795375","5.5527935"
"2","1877.5211","40.124504","85.00753","96.97892","162.59335","9.48679","8.919403","0.5740981","5.5666895"
"3","1847.5292","41.09087","115.262024","95.779976","163.60374","10.384898","9.323695","1.4682198","5.563384"
"4","1835.2437","40.962887","87.03894","104.81121","165.4837","10.389909","9.487863","1.6932018","5.214769"
"5","1810.0642","38.200523","118.595634","100.83301","153.73227","9.522272","9.071012","1.9031944","6.1224346"
"6","1807.9397","42.485153","86.03054","98.15624","168.78381","9.565189","9.323224","1.2788253","5.003799"
"7","1801.999","37.177525","83.04566","105.08508","166.35938","10.053569","8.918039","0.91048896","6.5251455"
"8","1776.1239","38.47873","115.31171","99.17454","150.3984","9.426046","9.260855","0.39765632","5.8405313"
"9","1768.5531","39.430046","81.5396","101.669075","165.34343","9.309471","8.763277","1.8518409","6.632225"
"10","1759.9695","44.28111","118.32467","101.78305","166.25653","10.29866","9.862032","1.5285313","5.80664"
"11","1757.7026","43.59006","114.96528","101.838615","164.46426","10.245801","9.69871","1.9051409","6.0912843"
"12","1751.2533","40.226772","122.02035","103.011505","160.08904","9.112068","10.009146","0.97155905","4.9012756"
"13","1745.8729","40.220898","118.39285","103.64339","162.19617","10.268129","9.002899","1.1040636","6.418991"
"14","1738.0087","36.512287","82.547295","98.01171","150.31546","9.770531","8.679327","1.0203089","6.1709423"
"15","1737.9205","38.70414","114.254265","103.5293","164.04019","10.037707","8.735496","1.0868672","5.842252"
"16","1737.6237","47.990883","116.19172","103.61897","150.95053","10.104552","9.014945","0.1755979","5.341129"
"17","1704.3959","42.000008","115.39503","102.065765","162.06941","9.177082","9.555644","0.16506314","5.6964126"
"18","1687.0432","45.555042","88.83559","101.57863","164.25107","9.067903","8.113296","1.4621608","6.016689"
"19","1683.4185","38.750385","87.040726","107.85281","162.98416","10.690194","8.873899","1.0420306","4.975715"
"20","1673.9564","37.55675","113.801285","104.39615","166.71219","9.793773","9.477527","0.4385891","6.2288904"
"21","1644.4274","47.25275","117.81161","96.72655","163.46368","9.144517","7.9693336","2.3409653","5.984603"
"22","1596.1195","44.491974","84.17858","104.43398","167.99724","9.753013","8.483674","1.5964228","5.5693703"
"23","1570.3774","40.4478","116.55944","103.295044","167.76802","9.644069","9.985849","2.0702047","5.7781076"
"24","1547.3495","40.618053","84.694275","104.417625","151.48375","9.605403","8.641377","0.8653693","5.244385"
"25","1545.5155","44.62899","115.24519","103.60749","164.52837","8.857894","8.968944","1.8415365","5.657978"
"26","1527.465","48.114014","81.79369","95.086945","153.43633","9.592058","8.0628805","2.1551101","5.9243555"
"27","1527.4524","51.589165","83.64764","102.46277","165.19188","9.909547","9.847929","0.90984964","5.6573434"
"28","1518.1917","45.257523","116.9115","100.10484","159.92308","10.379517","9.805556","2.41612","6.4549828"
"29","1012.90515","62.55626","87.922676","108.77065","162.72664","8.405893","9.767868","2.1087964","6.306617"
"30","892.9947","36.004013","85.663994","105.673294","165.34515","10.758784","9.176214","-0.009800911","6.5127387"
"31","405.3555","55.49009","121.85638","100.0","90.590706","9.287921","2.0911891","7.021249","4.6373434"
"32","96.0921","46.855938","83.96799","107.03998","164.75673","11.087399","9.061552","0.8030932","7.0437965"
"33","7.5698843","39.240593","80.9686","95.95097","155.95985","10.424098","9.060058","0.090485096","5.4441113"
"34","0.0","62.55626","165.85477","100.0","21.007053","9.31572","9.74153","6.627509","2.1696255"
"35","0.0","96.48696","150.31502","100.0","159.75096","9.026695","4.4865203","8.782179","4.693599"
"36","0.0","37.6467","121.66625","105.10174","160.11008","9.500978","8.2829275","1.345367","6.110771"
"37","0.0","40.67253","114.6646","103.77526","161.51205","1.5330691","8.333452","0.98161733","5.86061"
"38","0.0","50.585144","72.798004","100.0","100.9175","2.2476108","2.4227638","8.239388","6.255395"
"39","0.0","51.589165","33.2949","100.0","115.784805","1.5330691","8.746204","1.8008544","7.7363243"
"40","0.0","36.481163","114.69848","98.147675","156.08481","10.972772","9.603509","0.5449345","6.2374325"
"41","0.0","33.797295","112.67819","105.079315","161.54164","8.969255","9.78997","0.7078104","5.773162"
"42","0.0","37.004353","79.18538","102.070496","157.20099","10.466916","9.627136","1.5847175","5.898218"
"43","0.0","38.088352","113.66437","103.689545","149.87918","10.411846","8.743752","2.128213","6.304565"
"44","0.0","41.880627","84.23549","102.99094","168.43463","9.404849","9.16267","2.5167627","7.1780086"
"45","0.0","34.977993","121.11701","98.77637","165.9282","9.90621","9.064158","1.3032035","5.477973"
"46","0.0","37.35234","79.58822","97.967995","164.68164","9.799402","8.225119","1.8494508","6.7201858"
"47","0.0","37.580658","84.83703","104.12086","169.92186","11.011765","8.274522","2.4166586","7.076002"
"48","0.0","40.054176","117.13681","104.03112","169.57993","8.101441","9.209682","2.3091145","5.101076"
"49","0.0","36.119156","117.00956","97.57204","163.26816","9.820804","8.036756","1.012572","6.203961"
