"9世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2100.3455","41.879833","75.841324","90.3214","168.29666","8.726213","8.078494","0.41710532","5.15176"
"1","1972.7943","41.457226","91.69311","90.984314","171.89925","9.705734","8.142949","0.3549062","4.9981327"
"2","1935.9467","36.55257","88.832184","86.80717","170.8577","6.970784","7.460478","0.1692636","5.7621684"
"3","1923.1859","37.916122","76.138115","83.70717","161.82678","9.309999","7.1285586","0.6085764","5.1260614"
"4","1815.2285","40.48953","75.288536","90.68723","171.93767","6.970784","8.755586","0.4507879","6.078634"
"5","1811.3541","40.806576","77.111534","90.68583","165.47081","8.645177","8.505577","0.64084566","5.7159266"
"6","1787.8545","39.593544","96.471275","93.827","167.1483","8.204107","8.666306","-0.15716016","4.574375"
"7","1783.996","41.542946","91.0774","87.6516","160.84119","8.670888","7.9487114","0.38852155","5.4598904"
"8","1759.0051","41.715195","78.96972","91.37815","164.70406","8.049023","9.012064","-0.04048848","5.1638703"
"9","1749.6936","39.31705","90.575615","93.76573","165.53787","9.358472","7.847773","0.50801563","5.598282"
"10","1726.2631","43.000675","77.479485","102.86688","163.37509","8.783602","9.09664","0.5554522","5.824374"
"11","1725.902","43.50935","88.85685","92.82391","163.57242","8.921204","8.413811","-0.3695165","4.609011"
"12","1722.7533","39.654114","91.5351","103.03106","165.14369","10.71376","7.3851843","0.9704809","6.2982435"
"13","1712.1685","38.642223","79.28365","106.95073","171.11342","9.631077","7.641037","0.063818455","5.4241233"
"14","1702.3044","42.69664","92.990875","100.7702","172.29459","8.569505","9.299162","0.20753634","5.763351"
"15","1683.2809","41.857494","77.64123","100.654045","164.4277","10.54791","7.5884495","0.38845742","5.152454"
"16","1662.536","36.399475","75.498955","102.853714","161.3015","8.023842","8.36255","-0.13358366","5.3272123"
"17","1615.6921","36.832253","90.75582","99.451195","164.60513","8.388444","8.059925","-0.116768","6.1243086"
"18","1609.6547","46.626404","89.18852","85.27685","162.64772","8.946905","8.465477","0.75322413","5.618168"
"19","1594.8529","43.11802","77.75234","103.5118","164.0983","8.908339","7.5137835","0.81117165","5.8665957"
"20","1592.7601","44.48849","78.46616","102.77204","164.95366","10.184329","6.5924006","1.3878375","4.978474"
"21","1498.4811","44.470264","75.95439","99.72429","164.8557","8.433168","8.1229925","1.004523","3.9630637"
"22","1489.5243","43.10168","92.52204","102.08549","167.5529","8.452123","9.163173","-0.39029288","5.615225"
"23","1390.5276","44.703","94.81859","83.94266","166.57742","10.1517","7.191513","0.3764559","5.353144"
"24","1133.3993","37.902966","79.3042","103.756714","166.75198","10.7252245","6.5592165","0.101566315","5.9255724"
"25","977.00934","37.69993","75.75926","102.878914","163.27177","9.719079","8.264634","0.21260154","5.578849"
"26","938.62994","40.767616","89.414505","88.61511","169.25702","10.184093","8.793329","0.03346479","5.5365796"
"27","935.3236","38.712067","77.58654","92.50424","168.33975","8.610045","7.160028","0.9513774","5.368361"
"28","888.2717","37.053978","71.754196","102.48524","166.44345","10.121026","7.510166","0.97533965","5.2268705"
"29","108.92518","88.98185","81.861084","100.0","163.54745","8.614734","5.8989897","1.8700153","3.5188937"
"30","93.18112","42.428745","88.96329","92.42755","170.33585","8.310633","7.4345264","0.04948938","5.4891376"
"31","91.086525","39.481934","74.38246","99.610466","162.09479","9.807432","6.936858","-0.11109543","4.9793715"
"32","6.51141","39.868423","88.41597","90.34004","168.27217","8.725869","7.545899","0.14422464","5.702284"
"33","6.1162906","40.027695","73.75254","100.04786","164.51895","10.634325","8.456913","0.26054835","5.9074483"
"34","3.657222","33.898365","76.528656","89.00776","169.1328","9.774945","9.131919","-0.6627718","4.0316267"
"35","0.18988866","40.220257","76.63045","95.50919","168.7407","9.038365","7.6536713","-0.52377594","4.977214"
"36","2.7241245E-5","33.5926","75.68462","90.43758","161.07062","10.653987","8.410444","-0.19381094","5.2633705"
"37","4.0224543E-13","44.93812","90.101616","88.93987","164.5779","10.152909","8.921118","-0.24919915","6.4186463"
"38","3.6347366E-13","35.41093","76.391136","92.46924","161.34999","8.7740135","7.5269027","-0.35477412","6.8165264"
"39","1.033032E-15","37.893856","90.067314","89.826004","171.32422","9.494428","8.31681","-0.40610337","5.8703623"
"40","4.5909163E-17","43.689213","73.085335","89.085754","162.99712","8.085344","7.7198915","-0.5325849","6.042576"
"41","6.1821826E-25","43.378498","74.0772","90.68964","160.79149","8.974407","7.448981","-0.23716903","5.5645866"
"42","0.0","129.30142","18.356401","100.0","40.62688","6.2480106","6.539224","6.725013","4.717667"
"43","0.0","108.81579","125.786644","100.0","142.61557","4.2551947","6.86394","3.2894156","8.51836"
"44","0.0","119.36611","122.40009","100.0","110.34044","6.970784","9.961352","6.4507904","7.549731"
"45","0.0","94.25029","55.359173","100.0","144.93651","3.106564","4.74023","1.3227051","7.039107"
"46","0.0","38.945614","93.677925","92.80147","163.63322","8.072786","7.6312346","1.1787913","5.24924"
"47","0.0","36.415474","79.60747","89.87856","167.02672","8.890831","9.230734","1.127345","6.1632686"
"48","0.0","30.853191","76.564674","84.703316","165.97742","9.594288","8.668292","0.82118595","5.7555404"
"49","0.0","34.532074","92.60663","87.69046","168.12654","9.577877","8.3109045","0.18381739","4.9608183"
