"2世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2073.166","37.177525","83.04566","105.08508","166.35938","10.053569","8.918039","0.91048896","6.5251455"
"1","1885.4172","38.200523","118.595634","100.83301","153.73227","9.522272","9.071012","1.9031944","6.1224346"
"2","1843.4412","40.124504","85.00753","96.97892","162.59335","9.48679","8.919403","0.5740981","5.5666895"
"3","1793.1531","44.62899","115.24519","103.60749","164.52837","8.857894","8.968944","1.8415365","5.657978"
"4","1652.8217","44.28111","118.32467","101.78305","166.25653","10.29866","9.862032","1.5285313","5.80664"
"5","1634.3195","45.788174","60.27755","100.47266","153.12857","8.543417","9.700555","1.3409051","1.7497212"
"6","1601.4763","44.549446","78.46198","103.89018","166.83832","9.618681","9.463071","2.2753935","1.3489468"
"7","1587.4902","54.734615","84.17288","102.25607","160.91449","10.392724","9.266386","1.0459024","6.398385"
"8","1545.0729","53.133904","119.4752","102.68181","149.09763","10.718945","9.290666","0.8773023","4.7454276"
"9","1523.3684","36.795986","116.12921","100.37613","47.488514","8.471804","6.101117","0.5913596","1.7673258"
"10","1517.6396","55.564774","81.512245","100.92791","163.32402","9.896009","9.195074","0.89714646","6.224757"
"11","1506.5388","43.788788","119.26215","106.20525","164.40543","8.493082","6.126197","2.1321726","0.42024422"
"12","1491.4684","61.723885","85.46803","97.126175","164.38058","10.263459","9.315867","1.7814941","1.0394152"
"13","1482.7566","45.778267","56.156616","98.627754","163.00934","9.716906","8.925136","0.77670145","4.9376717"
"14","1471.0334","53.41446","82.9501","101.788506","147.40863","9.947955","8.216508","1.2370309","6.0811057"
"15","1449.9281","57.650417","82.041794","101.654724","42.503548","9.76851","6.972036","-0.14890718","0.45471454"
"16","1448.353","53.608234","115.05104","105.050186","160.69237","9.764702","9.244215","1.0546471","4.809074"
"17","1447.6763","61.43333","80.02253","103.47908","73.18693","11.039341","8.59845","0.64442575","5.8365693"
"18","1426.888","59.250587","81.95579","104.94178","147.53714","8.67177","6.345525","1.2659771","6.383791"
"19","1395.7687","50.539555","84.24299","102.22841","73.99534","9.637131","10.614508","2.408958","1.0482668"
"20","1376.3978","58.844147","79.46556","102.57332","45.965263","9.360989","8.899696","1.6083832","1.419022"
"21","1347.3138","52.005325","62.276035","98.74396","46.7285","10.897521","7.1515045","1.5511205","7.256622"
"22","1337.6584","57.78646","87.08261","103.315636","42.691936","10.000607","8.086213","2.2549486","7.6119556"
"23","1318.7391","57.812904","120.68566","96.367386","44.83281","9.784337","5.291182","-0.4094038","6.020089"
"24","1316.9812","55.678875","77.60244","104.7271","42.840828","7.2982664","9.327917","1.5916573","0.47081435"
"25","1285.6763","61.913307","80.25807","101.41247","169.64386","9.490134","8.671705","1.1451991","5.0738707"
"26","1227.3076","54.261086","59.859726","101.638054","160.00632","9.994552","6.5100756","4.64874","6.0326834"
"27","1214.8324","55.03674","82.14304","100.0","150.12387","7.127547","6.1284084","1.3279779","5.999883"
"28","1012.1349","51.516975","83.236084","101.815926","146.54335","10.406497","6.8940525","5.1792974","2.368775"
"29","244.87439","57.633213","55.43378","103.18432","170.00394","10.168264","5.8045497","0.90093946","6.049865"
"30","64.049614","51.654484","58.596664","101.84613","75.97749","8.778418","6.419296","5.32868","6.72416"
"31","1.1875995E-6","40.943596","84.82589","99.52411","164.91022","8.788135","7.967194","-0.21611452","6.791609"
"32","0.0","29.723011","150.31036","100.0","123.3196","1.0589352","5.5378284","2.752174","3.297363"
"33","0.0","105.60353","60.48492","100.0","112.26915","9.395594","2.5898504","6.190967","9.428008"
"34","0.0","132.7257","24.5348","100.0","54.473175","9.4274025","6.220265","8.7682705","4.7259903"
"35","0.0","39.668346","81.88849","104.84651","75.70001","7.815806","6.247972","5.4842434","7.595103"
"36","0.0","130.66275","60.8059","100.0","31.321705","4.992543","9.574425","3.762392","6.071902"
"37","0.0","11.460151","39.852837","100.0","49.340027","3.819075","7.9466195","5.797415","8.092468"
"38","0.0","58.149525","117.03038","95.39824","164.47075","6.645615","5.8024144","5.2791634","5.789878"
"39","0.0","36.763203","87.14815","98.68286","79.8047","10.353425","7.9594555","2.3981414","5.266398"
"40","0.0","53.083244","83.62198","103.2336","152.49573","8.826529","9.84535","5.3632536","6.993195"
"41","0.0","43.596302","78.22028","99.77262","48.4471","6.728169","5.990815","6.084236","6.448162"
"42","0.0","52.45957","56.15559","97.51064","49.92724","8.499454","10.279197","6.0315466","5.054943"
"43","0.0","58.15685","83.560974","94.688515","152.12749","7.412013","9.592517","2.2735896","6.318242"
"44","0.0","57.675896","61.557137","98.100975","162.29393","7.133315","10.185265","4.344518","6.8194923"
"45","0.0","53.339157","83.82822","99.14895","163.85387","8.393864","10.342053","4.4163055","8.092468"
"46","0.0","130.66275","83.45593","98.49781","164.89502","8.691218","6.771783","5.569841","6.5144186"
"47","0.0","54.19593","84.69723","93.58656","162.065","6.349299","8.958069","0.5901327","5.1386228"
"48","0.0","56.766373","78.4289","99.09653","168.22078","9.502135","10.534195","5.2378306","6.1671443"
"49","0.0","42.160923","120.82961","100.780716","42.135403","8.427372","9.020813","6.1548357","6.3660054"
