"6世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2085.4902","44.41731","78.91292","99.87969","166.35907","8.4759245","7.1977115","0.49667895","4.9838862"
"1","1977.1307","38.826313","79.70501","90.79962","172.82489","7.7919016","7.787491","0.15466714","4.331461"
"2","1943.7903","40.430313","84.42043","100.80296","165.3382","10.661199","9.221485","0.786564","4.967665"
"3","1928.2802","34.40836","85.74385","102.75675","165.49803","9.914585","7.9138756","0.16456938","4.9070015"
"4","1923.664","40.220608","81.05556","96.891426","166.8896","9.170248","7.772197","0.847581","4.8657284"
"5","1896.1306","35.031647","86.57257","100.35693","171.30618","10.879137","7.8742256","0.41775084","5.0637083"
"6","1865.4784","39.55005","82.20588","96.5755","169.33899","9.249208","7.4206085","1.140493","6.272978"
"7","1841.2719","40.904823","83.042786","106.96476","169.65596","9.823551","9.064113","1.450497","5.3531704"
"8","1803.8367","42.036133","81.44436","99.00849","167.73044","8.595047","8.660959","0.4348024","5.038915"
"9","1799.0546","43.321392","120.16369","94.90295","171.2139","10.055102","8.92789","1.0347351","5.361923"
"10","1788.8577","36.697613","82.71523","92.8382","165.35716","8.938706","8.39707","0.18656862","5.385238"
"11","1787.4861","43.969364","88.77235","100.92603","168.2349","9.110266","9.194659","-0.08039224","4.474144"
"12","1769.5778","40.409454","84.77538","101.85012","166.30823","9.899059","8.975885","1.2624671","6.2678714"
"13","1755.7252","38.34872","79.0998","99.52697","164.4612","7.6944866","8.705856","1.2534553","5.996489"
"14","1741.1144","40.04418","88.0577","108.27148","164.66946","8.920614","8.948423","0.336949","5.1514063"
"15","1739.1654","40.773136","118.13371","89.27347","169.18736","9.259403","7.778172","0.81650674","4.403841"
"16","1710.9884","41.14934","81.9409","103.416504","168.24222","7.666832","8.129807","0.19787455","5.5964637"
"17","1692.5986","42.505894","86.7723","99.715805","168.8833","10.806271","8.786501","0.34876442","6.7873187"
"18","1682.4222","44.678726","81.58259","89.08896","169.88745","8.736692","8.340507","1.3486516","4.8065276"
"19","1679.5974","40.843254","83.47195","100.20391","170.72147","9.105192","8.478351","2.2128894","4.6350594"
"20","1660.982","40.327156","81.418076","92.28143","165.44814","8.5508","9.325793","-0.39887178","4.6874704"
"21","1655.0353","42.7155","82.0611","93.43446","166.27611","8.453597","8.519553","0.6729758","5.8625665"
"22","1642.1088","43.730324","81.374435","102.881134","167.64236","9.154403","9.513543","1.33212","6.0379505"
"23","1464.7582","41.662952","78.75955","95.84884","164.51553","8.400658","9.822919","1.5743812","6.763018"
"24","1289.4369","38.956184","118.29039","98.516014","166.59135","10.118527","7.9036903","-0.85651684","6.12709"
"25","1251.8054","38.165752","115.261154","93.228966","168.60396","8.925282","9.565106","-0.33219326","6.186513"
"26","1167.9814","36.5632","86.30365","99.919334","169.602","9.257419","7.712775","0.49504197","4.4025416"
"27","1131.2262","36.83266","79.12379","94.874466","170.54962","10.246689","7.3325987","-0.01569283","4.528775"
"28","1120.6177","40.5365","84.791824","93.05507","165.01875","10.174061","8.199034","0.11898911","5.260008"
"29","1078.1351","34.62475","84.583694","100.95966","169.01868","9.477186","9.3879175","-0.48408186","4.294277"
"30","587.36566","43.09129","45.04899","91.38239","164.89676","9.231804","6.7732224","1.402506","4.157684"
"31","405.11526","68.60392","32.181267","100.0","70.0777","8.135547","7.752996","6.884952","4.8287435"
"32","5.0880876","37.332684","83.91637","101.44919","167.90831","9.391436","7.0171843","-0.33125174","5.0851746"
"33","1.331661E-23","37.7422","80.565704","108.56143","171.90059","9.094724","6.8333015","-0.49656105","5.298228"
"34","0.0","37.93841","80.63675","105.703","170.9543","4.1601267","8.119768","1.018296","5.222434"
"35","0.0","37.945053","118.71963","99.89023","168.03058","8.158233","7.4429054","1.3369871","6.954876"
"36","0.0","37.056904","80.60458","102.72814","164.21228","4.202568","8.044267","1.4964211","5.907342"
"37","0.0","124.02526","11.394857","100.0","140.35449","4.202568","2.0460367","5.6169186","2.3385906"
"38","0.0","148.98549","61.50986","100.0","116.28042","4.1601267","5.938461","7.9530716","8.024597"
"39","0.0","164.83432","144.5763","100.0","139.81673","4.628705","4.7884293","6.639504","8.860464"
"40","0.0","94.176865","45.04899","100.0","44.30309","1.7751659","5.6110487","9.828473","3.9901009"
"41","0.0","35.504803","83.001976","95.880325","170.27515","8.499612","8.36305","0.9294795","7.486181"
"42","0.0","40.005653","82.32834","97.15193","163.56805","9.331079","8.018211","2.2355342","5.1765685"
"43","0.0","39.407295","84.41049","94.92029","164.4309","7.4224153","8.89622","1.757939","6.170682"
"44","0.0","39.65736","78.84173","101.63425","167.74297","9.534569","8.554525","-0.76842976","5.3858705"
"45","0.0","39.157776","84.08301","102.97651","172.18233","9.806054","9.04319","2.3745022","5.0630827"
"46","0.0","41.673912","86.49368","110.571945","173.20836","7.3564143","8.976938","1.0798641","5.549279"
"47","0.0","34.143517","122.707466","94.30427","167.21994","8.986445","8.133033","1.2088012","4.8287435"
"48","0.0","36.262787","86.2459","90.59161","163.45676","9.317277","8.855415","1.1809198","5.7898016"
"49","0.0","35.72335","82.81056","102.91303","170.393","9.582465","8.277368","0.6888807","4.3654613"
