"7世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2265.9307","36.987934","79.87596","101.19555","167.27664","10.797728","7.104453","0.9933231","5.800242"
"1","2207.3691","44.722626","88.00217","96.81001","166.9099","9.357355","7.0320363","0.86227214","5.69567"
"2","1919.2285","37.32742","89.04767","100.3363","167.30481","8.925999","7.6540527","0.3432778","4.0350885"
"3","1811.499","38.826313","79.70501","90.79962","172.82489","7.7919016","7.787491","0.15466714","4.331461"
"4","1803.7433","41.879833","75.841324","90.3214","168.29666","8.726213","8.078494","0.41710532","5.15176"
"5","1763.4282","40.70182","87.8351","93.908356","162.87263","9.005111","8.423699","-0.20540953","5.0426264"
"6","1739.0657","42.954857","78.32299","100.54025","166.1143","8.256003","7.47262","0.9280975","5.2000566"
"7","1715.5775","39.62267","83.53587","104.04357","170.62726","8.566278","7.4644103","1.1229522","5.875787"
"8","1686.7338","44.41731","78.91292","99.87969","166.35907","8.4759245","7.1977115","0.49667895","4.9838862"
"9","1671.9015","37.79016","86.93197","101.08538","169.60686","11.599817","8.646144","0.4378847","4.875845"
"10","1669.1823","41.65582","82.29226","100.783165","168.0039","9.589252","9.262762","1.4169412","3.336501"
"11","1655.6781","35.45473","86.79492","100.21238","168.926","8.63864","7.347456","0.23598814","5.8082886"
"12","1617.9071","40.362553","79.5188","100.0265","172.51743","9.143812","9.443755","-0.29906845","4.612632"
"13","1602.302","41.541615","83.13223","103.0447","169.76024","7.329574","8.637211","0.020470977","4.2593303"
"14","1582.2368","43.030064","84.47749","103.408035","166.89844","7.7493153","7.924311","0.55415547","4.452836"
"15","1521.1678","43.394943","87.96971","96.19861","161.56645","9.145346","7.77214","1.1902757","4.9425373"
"16","1508.2646","42.859634","81.913635","95.306725","165.90761","7.9115734","8.321736","1.412393","3.4574046"
"17","1316.1005","42.089546","87.40845","93.081345","164.60628","7.5895767","8.784655","-0.55251825","5.481276"
"18","1287.3019","38.54443","77.27329","91.471695","162.62157","8.104168","8.368532","-0.41844785","3.9179544"
"19","1166.4016","40.220608","81.05556","96.891426","166.8896","9.170248","7.772197","0.847581","4.8657284"
"20","1029.3802","41.2532","81.145775","100.01622","175.00932","9.270219","7.2505674","1.1514943","4.245982"
"21","930.37146","47.3095","81.91986","100.83313","166.3472","8.757762","7.8477902","0.74574375","4.3619914"
"22","868.0151","40.430313","84.42043","100.80296","165.3382","10.661199","9.221485","0.786564","4.967665"
"23","864.184","34.40836","85.74385","102.75675","165.49803","9.914585","7.9138756","0.16456938","4.9070015"
"24","813.3753","43.835495","78.15282","102.215645","163.9398","10.150121","6.4497986","1.3801581","5.0921407"
"25","138.54985","35.031563","81.7979","99.59419","166.32904","10.321562","8.584637","0.16209972","5.2541857"
"26","118.29129","42.811012","79.179504","94.25005","162.59938","10.800873","8.669202","0.06824863","5.416955"
"27","112.845795","38.65896","77.43764","100.2394","169.15454","9.22003","7.871939","1.3398039","5.3999367"
"28","4.4944735","41.08844","86.97126","103.80596","169.24672","9.771928","8.589154","-0.06217563","4.0990443"
"29","0.2647085","37.70557","81.28195","99.6531","165.83301","11.224525","7.4319563","-0.16470909","5.443397"
"30","0.17408356","34.92963","81.5367","95.97761","169.1553","10.870452","7.8623285","-0.34373558","5.0031414"
"31","0.013535312","38.374523","84.595665","96.95299","163.34857","10.558675","6.867938","-0.14624286","3.9796462"
"32","7.415841E-8","39.681683","79.561005","94.73962","176.62967","9.838679","7.016535","-0.34045672","4.6113887"
"33","9.474866E-16","43.764206","87.97064","88.99646","165.72253","10.860938","10.080304","-0.4871912","4.233783"
"34","1.5798823E-27","42.779106","85.39421","100.39634","165.9887","9.689715","8.013756","-0.6221696","4.462622"
"35","0.0","26.272345","137.373","100.0","105.50883","7.7593083","5.991331","2.3707423","3.0697057"
"36","0.0","147.93237","135.67801","100.0","165.15363","2.55645","9.293953","4.773651","2.639851"
"37","0.0","10.600239","123.905235","100.0","31.695986","4.370357","5.3939805","9.448939","9.171"
"38","0.0","53.701893","162.42365","100.0","163.64235","3.5737293","7.172635","3.4578245","4.0858965"
"39","0.0","35.231663","81.28111","101.327286","168.40143","8.738225","8.884078","0.938287","5.1816053"
"40","0.0","153.04488","90.949524","100.0","103.065636","2.6258225","9.494228","7.720754","8.351703"
"41","0.0","30.590023","79.140434","102.53456","170.0239","7.734019","9.32417","1.0864067","5.5222683"
"42","0.0","36.027866","84.40659","95.63841","165.56726","9.90891","7.3007736","1.0608847","4.72802"
"43","0.0","153.04488","80.03791","98.01959","165.67133","9.549713","7.637072","0.43198717","4.197857"
"44","0.0","39.23123","80.103264","87.32028","168.95845","10.159248","8.479611","3.4578245","5.585554"
"45","0.0","35.588634","80.27239","104.33567","165.1185","8.963709","9.274154","1.4351861","5.094847"
"46","0.0","31.812435","89.49431","93.626656","171.02287","8.993443","8.3338175","0.58446527","4.8715763"
"47","0.0","36.471886","79.84459","101.52568","162.55614","10.594414","8.093344","1.2287898","3.621995"
"48","0.0","32.03674","76.4984","96.09764","167.31548","7.0901666","7.7689757","1.2553022","4.5871105"
"49","0.0","32.349922","75.85635","88.46182","165.02118","8.854361","8.672078","0.5796256","5.425042"
