"8世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2064.5847","43.11802","77.75234","103.5118","164.0983","8.908339","7.5137835","0.81117165","5.8665957"
"1","2045.3881","39.31705","90.575615","93.76573","165.53787","9.358472","7.847773","0.50801563","5.598282"
"2","2007.7933","34.532074","92.60663","87.69046","168.12654","9.577877","8.3109045","0.18381739","4.9608183"
"3","1988.2449","40.027695","73.75254","100.04786","164.51895","10.634325","8.456913","0.26054835","5.9074483"
"4","1960.4854","41.879833","75.841324","90.3214","168.29666","8.726213","8.078494","0.41710532","5.15176"
"5","1930.2046","35.389244","85.94683","91.95279","165.37823","9.167202","6.5713034","0.48691595","6.0256863"
"6","1888.8092","37.4077","92.55755","99.88997","167.92361","8.608459","7.8659873","0.738917","5.1385994"
"7","1879.4656","38.423756","85.558624","95.84749","164.56021","9.987809","7.421538","0.6436703","3.542526"
"8","1865.2516","38.826313","79.70501","90.79962","172.82489","7.7919016","7.787491","0.15466714","4.331461"
"9","1844.7052","35.838593","72.226135","94.08564","169.50327","7.762243","6.6654286","1.0341843","6.3927536"
"10","1826.2374","37.32742","89.04767","100.3363","167.30481","8.925999","7.6540527","0.3432778","4.0350885"
"11","1819.6118","36.799065","83.6275","90.875854","173.46521","10.404446","8.004278","0.072755575","4.770644"
"12","1766.7539","39.595577","80.71381","94.09453","165.91908","8.309905","7.5960426","1.1817784","3.4007416"
"13","1743.4847","41.322224","90.17595","87.19245","164.08925","9.729859","6.3696675","0.8018267","4.016192"
"14","1726.8816","44.722626","88.00217","96.81001","166.9099","9.357355","7.0320363","0.86227214","5.69567"
"15","1724.9535","38.6664","76.65554","104.24174","167.4215","10.355498","7.2098446","0.5893893","3.0701063"
"16","1720.5424","45.8599","91.952736","93.8672","170.95808","8.206669","7.2711434","-0.109612584","5.3604236"
"17","1719.0022","48.32585","88.47748","101.86813","168.54268","9.545297","7.883971","0.08380687","4.9351296"
"18","1713.6324","47.95437","91.64633","102.03743","167.63463","8.21142","7.8948464","1.1381105","5.913307"
"19","1706.364","42.619167","77.5573","103.62974","169.41388","8.321385","8.507501","0.05538392","3.838871"
"20","1689.1533","39.605396","82.770485","89.25662","168.50076","7.9681916","8.305695","0.25092912","5.129483"
"21","1672.559","41.55857","77.6975","99.31331","170.86464","8.512696","8.450694","1.0461535","4.560741"
"22","1661.7632","38.97152","90.744316","100.47063","165.61703","8.230026","7.380595","0.04978025","3.6755877"
"23","1632.9834","47.674274","86.615654","102.297005","170.01714","8.995024","8.047285","0.5484313","3.8809178"
"24","1475.9652","39.037518","78.1581","94.34576","165.01617","9.037744","7.6912465","0.32927096","5.7200074"
"25","1276.1838","34.03767","77.034676","96.74165","170.85924","9.949029","8.121159","0.5199015","4.3302402"
"26","1178.7255","37.50192","73.59212","90.66111","176.60818","9.6999235","7.5706797","0.8197731","3.9473524"
"27","1082.2992","51.072865","88.18882","101.06224","175.55743","10.774067","8.189736","0.093330026","6.365179"
"28","1029.8259","37.06228","81.31065","90.83154","163.47209","9.252433","7.8092637","0.761498","3.9665666"
"29","1020.5242","46.15784","80.869995","102.0943","169.42801","10.983687","8.330446","0.19726896","5.844186"
"30","987.8747","41.12584","78.33422","88.73629","176.39171","9.275116","7.9804716","0.723035","5.831258"
"31","956.87164","36.987934","79.87596","101.19555","167.27664","10.797728","7.104453","0.9933231","5.800242"
"32","92.15501","40.131268","82.70708","102.83914","171.07008","8.504364","7.115998","0.3542639","5.9830017"
"33","0.010388902","38.432945","73.02507","99.34438","174.68236","8.711","6.8113494","-0.23129833","3.7196379"
"34","0.006588347","40.113968","77.83293","98.06265","167.66621","8.917702","7.1370945","-0.17920434","3.677931"
"35","3.6792895E-5","60.07356","19.593035","100.0","128.32594","2.8774872","6.176672","1.7937075","4.5501666"
"36","8.0881485E-8","39.641857","73.009384","97.77425","169.9693","9.500089","8.458331","-0.11093795","3.4383523"
"37","0.0","130.25072","89.26324","100.0","127.83476","9.230015","6.46539","6.020769","7.902521"
"38","0.0","34.22493","90.515625","94.466606","168.06265","11.274069","8.052218","1.2501526","5.2132144"
"39","0.0","51.072865","124.45609","100.0","118.529816","8.305395","6.3324404","7.9865265","3.1510663"
"40","0.0","74.41444","116.861244","100.0","141.98958","6.6587343","7.5043736","7.181988","8.745386"
"41","0.0","122.434555","77.462814","100.0","61.533882","4.053963","3.7294266","2.071299","3.9835525"
"42","0.0","35.76532","82.31477","100.16538","167.73769","8.495026","7.3974457","0.2412219","4.92581"
"43","0.0","35.01951","81.69171","103.55095","167.91954","7.741708","7.7518744","0.44606423","6.3174686"
"44","0.0","36.00185","75.82726","93.276886","172.00923","8.676518","7.716367","1.3996134","5.749829"
"45","0.0","33.74814","81.45786","100.0833","172.27332","9.059509","7.979065","1.6801671","6.6086235"
"46","0.0","35.63419","87.997215","101.501785","168.56712","7.961087","6.737112","1.1552666","4.917975"
"47","0.0","37.068474","75.457146","98.25019","167.63802","8.4319515","7.894585","1.3945398","4.7793326"
"48","0.0","34.092937","76.00658","99.830696","166.08836","8.886927","7.4093747","0.6824033","5.18542"
"49","0.0","122.434555","87.13951","96.87212","171.95383","8.046696","8.287783","0.2334975","6.214261"
