"0世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","1290.9015","55.03674","82.14304","100.0","150.12387","7.127547","6.1284084","1.3279779","5.999883"
"1","1252.5525","55.89175","84.97073","100.0","74.16698","9.684823","9.163383","3.3853164","7.60146"
"2","676.3849","72.21692","119.13243","100.0","28.908926","9.050358","3.3617232","2.0259762","1.9600892"
"3","452.75473","42.881744","54.33739","100.0","162.95122","9.7245865","3.517348","2.3611836","3.56527"
"4","323.15256","56.70306","59.573864","100.0","43.58239","7.5818396","4.073503","4.6604595","6.3833323"
"5","48.77788","91.6382","10.995098","100.0","82.06145","6.938423","2.5648084","1.5008746","8.515129"
"6","1.1067718E-18","97.86163","126.631294","100.0","139.56459","5.9298964","4.372849","3.041155","7.6466837"
"7","0.0","53.459114","52.676914","100.0","154.91745","9.271925","2.7479596","7.0522757","6.16724"
"8","0.0","134.51593","34.34372","100.0","39.100395","1.7209917","4.5131783","2.2681608","6.517746"
"9","0.0","91.463875","128.56445","100.0","70.81613","2.18018","5.8964024","9.070958","4.9072094"
"10","0.0","35.062904","19.352848","100.0","63.162457","7.3118825","6.3847246","7.5792413","6.0763345"
"11","0.0","54.003513","165.22147","100.0","113.17052","4.6312647","7.708003","4.614438","5.651196"
"12","0.0","46.450596","155.68361","100.0","118.12441","4.251436","6.1900086","3.8687415","2.1819615"
"13","0.0","166.15523","8.882212","100.0","56.240223","5.5560317","5.948958","1.6599216","2.862801"
"14","0.0","145.5337","34.4019","100.0","144.8666","1.2725757","2.8321495","2.1569595","4.967056"
"15","0.0","89.09576","104.14879","100.0","124.3375","4.5520434","9.411879","1.8275924","7.631485"
"16","0.0","144.20741","119.710976","100.0","115.20957","3.5624044","4.890956","4.158331","3.4408681"
"17","0.0","158.10423","42.54159","100.0","77.63762","8.106071","5.83298","8.845844","8.3033085"
"18","0.0","35.41502","63.46291","100.0","123.8472","1.0731792","9.192421","1.4874647","6.033204"
"19","0.0","151.46443","61.711452","100.0","140.28078","1.0616956","7.2921467","1.3905736","9.86708"
"20","0.0","8.613739","75.14298","100.0","36.144264","2.6813352","1.6498628","3.410417","7.080502"
"21","0.0","82.25484","123.67794","100.0","160.17464","1.3853793","7.7046","7.028559","6.9644775"
"22","0.0","146.71048","159.96527","100.0","118.13854","9.672152","3.8154535","5.7037954","7.473727"
"23","0.0","106.475426","10.572623","100.0","92.6753","7.5425315","9.878176","2.338018","1.8125806"
"24","0.0","104.32076","12.680176","100.0","147.13663","2.343325","2.5837157","6.9976754","9.168599"
"25","0.0","68.738235","96.298935","100.0","52.521687","5.8148","9.442711","6.005856","6.542244"
"26","0.0","40.845036","92.97218","100.0","139.66797","8.898445","7.1727705","5.09436","4.609461"
"27","0.0","113.12842","23.0444","100.0","111.59372","4.1310773","2.252738","6.5701275","7.54104"
"28","0.0","116.757744","61.44538","100.0","37.78681","5.6938934","8.640857","6.3763404","3.2731597"
"29","0.0","39.04058","154.43735","100.0","21.697857","2.0847793","4.7522926","4.7558446","9.926907"
"30","0.0","124.53578","137.92719","100.0","107.35541","7.347532","6.656628","3.0125117","7.704682"
"31","0.0","144.24509","94.65584","100.0","103.11892","2.3994763","5.7791867","2.1668355","9.201112"
"32","0.0","84.71039","163.20369","100.0","79.69389","1.3267993","6.7426953","7.2000904","6.099989"
"33","0.0","113.91586","32.93937","100.0","79.58185","5.558155","7.637619","2.564364","5.240847"
"34","0.0","147.39691","37.702003","100.0","96.71099","7.44689","3.6489298","2.3032343","5.862176"
"35","0.0","112.80513","55.869392","100.0","60.398712","2.0770953","1.0756919","2.1949666","1.5376027"
"36","0.0","90.42903","28.208769","100.0","102.89983","3.7146761","8.289322","6.461198","8.716745"
"37","0.0","135.01236","156.18091","100.0","162.0486","8.387869","4.883083","2.2304478","3.698313"
"38","0.0","69.09851","133.71246","100.0","122.0184","1.2118349","5.728781","5.7886796","9.200497"
"39","0.0","105.80579","141.36667","100.0","22.141768","7.3706446","1.7729965","9.651352","2.2965064"
"40","0.0","33.387768","102.99373","100.0","47.257355","4.6730137","9.804553","6.7856755","1.6412106"
"41","0.0","123.098404","86.975555","100.0","41.4835","3.3991685","5.3759727","8.454624","9.281897"
"42","0.0","29.836224","14.571138","100.0","43.40136","9.58928","9.500503","4.9170055","5.6818466"
"43","0.0","116.56226","57.340187","100.0","146.40784","5.835465","8.827214","3.9852042","8.573692"
"44","0.0","164.58475","44.1765","100.0","77.19107","4.430216","8.94118","3.087271","4.869996"
"45","0.0","161.52611","46.17574","100.0","76.989655","1.8750379","2.8263938","6.8479295","3.2279296"
"46","0.0","150.764","108.75537","100.0","147.25943","3.2396","9.070579","4.0899982","3.5839484"
"47","0.0","47.341705","97.69554","100.0","98.29783","7.24662","3.4401827","9.045983","2.4928918"
"48","0.0","127.30019","84.11157","100.0","20.31272","4.678931","2.0392401","2.533185","1.316418"
"49","0.0","45.28701","99.59406","100.0","22.346233","2.574543","5.2700167","3.1859522","7.8110847"
